,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
8565,,,,,,,"['Coffee', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Chambord Raspberry Liqueur', 'Cocoa Powder', 'Whipped Cream', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['6 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Oz', '2 Tblsp', '', '', '', '', '', '']"
8566,,,,,,,"['Light Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lime', 'Sugar', 'Mint', 'Soda Water', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2-3 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Juice Of 1', '2 Tsp', '2-4', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']"
8567,,,,,,,"['Mint', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lemon Juice', 'Dark Rum', 'Club Soda', 'Angostura Bitters', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 Handful', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '3 Cl', '1/8 L Jamaican', '1/8 L', '8 Drops', '', '', '', '']"
8568,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Benedictine', 'Orange Juice', 'Grenadine', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Tsp', '1/2 Oz', '1 Tsp', '', '', '', '', '']"
8569,,,,,,,"['Light Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Grapefruit Juice', 'Bitters', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '3 Oz', '1 Dash', '', '', '', '', '', 'Unfilled']"
8570,,,,,,,"['Absinthe', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Tequila', 'Grenadine', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2/5', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2/5', '1/5', '', '', '', '', '', 'Unfilled']"
8571,,,,,,,"['Vodka', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lime Juice', 'Ginger Ale', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Oz', '8 Oz', '', '', '', '', '', 'Unfilled']"
8572,,,,,,,"['Goldschlager', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Butterscotch Schnapps', 'Milk', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']",
8573,,,,,,,"['Southern Comfort', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Orange Juice', 'Pepsi Cola', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['750 Ml', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 L', '750 Ml', '', '', '', '', '', 'Unfilled']"
8574,,,,,,,"['Water', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Sugar', 'Cloves', 'Cinnamon', 'Lemon Peel', 'Red Wine', 'Brandy', 'Unfilled', 'Unfilled']","['3 Cups', '', '', '', 'Unfilled', 'Unfilled', 'Unfilled', '1 Cup', '12', '2', '1', '750 Ml', '1/4 Cup', '', '']"
8575,,,,,,,"['Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Vodka', 'Gin', 'Blue Curacao', 'Sour Mix', 'Lemon-lime Soda', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 Oz', '', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 Oz', '1/2 Oz', '1/2 Oz', '2 Oz', '1 Splash', '', '', '']"
8576,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Campari', 'Sweet Vermouth', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']",
8577,,,,,,,"['Absolut Citron', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Grand Marnier', 'Lemon Juice', 'Club Soda', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '2 Oz Sweetened', '1 Oz', '', '', '', '', '']"
8578,,,,,,,"['Blended Whiskey', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lemon', 'Sugar', 'Red Wine', 'Lemon', 'Cherry', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', '', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Juice Of 1/2', '1 Tsp', '(claret)', '', '', '', '', '']"
8579,,,,,,,"['Cocoa Powder', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Sugar', 'Vanilla Extract', 'Milk', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Tsp', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Tsp', '1/2 Tsp', '12 Oz', '', '', '', '', '']"
8580,,,,,,,"[""Bailey's Irish Cream"", 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Frangelico', 'Milk', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']",
8581,,,,,,,"['Bourbon', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Angostura Bitters', 'Sugar', 'Water', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['4.5 Cl', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Dashes', '1 Cube', 'Dash', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']"
8582,,,,,,,"['Vodka', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Triple Sec', 'Orange Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']",
8583,,,,,,,"['Cherry Brandy', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Gin', 'Orange Juice', 'Ginger Ale', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 1/2 Oz', '4 Oz', '', '', '', '', '', '']"
8584,,,,,,,"['Spiced Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Grenadine', 'Orange Juice', 'Sour Mix', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1.5 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '0.5 Oz', '4 Oz', '1 Splash', '', '', '', '', '']"
8585,,,,,,,"['Milk', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Chocolate', 'Orange Peel', 'Espresso', 'Nutmeg', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Cups', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '4 Oz Chopped Bittersweet Or Semi-sweet', '3 2-inch Strips', '1/2 Tsp Instant', '1/8 Tsp Ground', '', '', '', '']"
8586,,,,,,,"['Orange Juice', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Rum', 'Vodka', 'Cream', 'Ice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['4 Oz', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '1 Oz', '1 Package', 'Over', '', '', '', '']"
8587,,,,,,,"['Lemon Juice', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Orange Juice', 'Sugar Syrup', 'Soda Water', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['5 Cl', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '15 Cl', '2-3 Cl', '', '', '', '', '', '']"
8588,,,,,,,"['Vodka', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Kahlua', ""Bailey's Irish Cream"", 'Vanilla Ice-cream', 'Oreo Cookie', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 Oz', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '1 Oz', '2 Scoops', '1', '', '', '', '']"
8589,,,,,,,"['Creme De Cacao', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Amaretto', 'Triple Sec', 'Vodka', 'Light Cream', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 Oz White', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 Oz', '1/2 Oz', '1/2 Oz', '1 Oz', '', '', '', '']"
8590,,,,,,,"['Whiskey', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Beer', 'Lemonade', 'Ice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['12 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '12 Oz', '12 Oz Frozen', '1 Cup Crushed', '', '', '', '', '']"
8591,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Apricot Brandy', 'Orange Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['7 Parts', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '4 Parts', '3 Parts', '', '', '', '', 'Unfilled', 'Unfilled']"
8592,,,,,,,"['Light Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Coconut Milk', 'Pineapple', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['3 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '3 Tblsp', '3 Tblsp', '', '', '', '', '', 'Unfilled']"
8593,,,,,,,"['Ginger', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Pineapple', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/4 Inch', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8594,,,,,,,"['Bitters', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Gin', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['3 Dashes', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Oz', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8595,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Grenadine', 'Light Cream', 'Egg White', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Tsp', '1 Tsp', '1', '', '', '', '', '']"
8596,,,,,,,"['Sprite', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Pink Lemonade', 'Vodka', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 L', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Cups', '2 Cups', '', '', '', '', '', 'Unfilled']"
8597,,,,,,,"['Everclear', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Vodka', 'Peach Schnapps', 'Orange Juice', 'Cranberry Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['750 Ml', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1750 Ml', '1750 Ml', '1 Gal', '1 Gal', '', '', '', '']"
8598,,,,,,,"['Pisco', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lemon Juice', 'Sugar', 'Ice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '1-2 Tblsp', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']"
8599,,,,,,,"['Dark Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Orgeat Syrup', 'Orange Juice', 'Pineapple Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 Part', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 Part', '2 Parts', '1 Part', '', '', '', '', '']"
8600,,,,,,,"['Vodka', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Cherry Liqueur', 'Cranberry Juice', 'Orange Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Oz', '4 Oz', '4 Oz', '', '', '', '', '']"
8601,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Creme De Cacao', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '3/4 Oz White', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8602,,,,,,,"['Grenadine', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Green Creme De Menthe', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 Tblsp', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 Oz', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8603,,,,,,,"['Port', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Brandy', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 Tsp', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8604,,,,,,,"['Port', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Light Cream', 'Powdered Sugar', 'Egg', 'Nutmeg', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Tsp', '1 Tsp', '1 Whole', '', '', '', '', '']"
8605,,,,,,,"['Brandy', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Port', 'Egg Yolk', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['3 Parts', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '9 Parts', '2 Parts', '', '', '', '', '', 'Unfilled']"
8606,,,,,,,"['Orange Juice', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Apple Juice', 'Pineapple Juice', 'Ice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 Part', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Part', '1 Part', '', '', '', '', '', '']"
8607,,,,,,,"['Light Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Brandy', 'Lemon', 'Raspberry Syrup', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['3/4 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '3/4 Oz', 'Juice Of 1/4', '2 Tsp', '', '', '', '', '']"
8608,,,,,,,"['Light Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Sherry', 'Lime', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/3 Oz Cream', 'Juice Of 1/2', '', '', '', '', '', 'Unfilled']"
8609,,,,,,,"['Coffee Brandy', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lime Vodka', 'Sherry', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 1/2 Oz', '1/2 Oz Cream', '', '', '', '', '', 'Unfilled']"
8610,,,,,,,"['Red Wine', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Grenadine', 'Lemon-lime Soda', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '', '', '', '', '', '', 'Unfilled']"
8611,,,,,,,"['Dry Vermouth', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Gin', 'Benedictine', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 1/2 Oz', '1 1/2 Tsp', '', '', '', '', '', 'Unfilled']"
8612,,,,,,,"['Dark Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Kahlua', 'Light Cream', 'Nutmeg', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 Oz', '1 Oz', '1/8 Tsp Grated', '', '', '', '', '']"
8613,,,,,,,"['Kahlua', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Midori Melon Liqueur', ""Bailey's Irish Cream"", 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']",
8614,,,,,,,"['Black Sambuca', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Orange Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['25 Ml', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Add 250 Ml', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8615,,,,,,,"['Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Vodka', 'Tequila', 'Gin', 'Triple Sec', 'Chambord Raspberry Liqueur', 'Midori Melon Liqueur', 'Malibu Rum', 'Unfilled']","['1 Oz', '', '', '', '', 'Unfilled', 'Unfilled', '1 Oz', '1 Oz', '1 Oz', '1 Oz', '1 Oz', '1 Oz', '1 Oz', '']"
8616,,,,,,,"['Beer', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, '7-up', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['12 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '12 Oz', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8617,,,,,,,"['Sugar Syrup', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lemon Juice', 'Ginger Ale', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Tsp', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '', '', '', '', '', '', 'Unfilled', 'Unfilled']"
8618,,,,,,,"['Raspberry Vodka', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lemon-lime Soda', 'Ice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '4 Oz', '', '', '', '', '', '', 'Unfilled']"
8619,,,,,,,"['Crown Royal', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Amaretto', 'Cranberry Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']",
8620,,,,,,,"['Dry Vermouth', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Gin', 'Apricot Brandy', 'Lemon Juice', 'Grenadine', 'Powdered Sugar', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '1/2 Oz', '1/2 Tsp', '1 Tsp', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']"
8621,,,,,,,"['Frangelico', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Crown Royal', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']",
8622,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Sweet And Sour', 'Egg', 'Coca-cola', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 Oz', '1 Whole', '', '', '', '', '', '']"
8623,,,,,,,"['Crown Royal', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Peach Schnapps', 'Chambord Raspberry Liqueur', 'Cranberry Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '1/2 Oz', '1 Oz', '', '', '', '', '']"
8624,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lemon', 'Powdered Sugar', 'Egg', 'Carbonated Water', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Juice Of 1/2', '1 Tsp', '1 Whole', '', '', '', '', '']"
8625,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Cranberry Juice', 'Grenadine', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '5 Oz', '2 Splashes', '', '', '', '', '', 'Unfilled']"
8626,,,,,,,"['Sugar', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Club Soda', 'Lemon', 'Dark Rum', 'Maraschino Cherry', 'Orange', 'Unfilled', 'Unfilled', 'Unfilled']",
8627,,,,,,,"['Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Lemon-lime Soda', 'Lemon', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz Light Or Dark', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '4 Oz', '1', '', '', '', '', '', 'Unfilled']"
8628,,,,,,,"['Light Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Milk', 'Powdered Sugar', 'Nutmeg', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 Oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Cup', '1 Tsp', '', '', '', '', '', '']"
8629,,,,,,,"['Light Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, '151 Proof Rum', 'Powdered Sugar', 'Bitters', 'Water', 'Lime Peel', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', '', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Tsp', '1/2 Tsp', '1 Dash', '1 Tsp', 'Twist Of', '', '', '']"
8630,,,,,,,"['Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Ginger Ale', 'Fruit Punch', 'Orange Juice', 'Ice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['Mikey Bottle', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Large Bottle', '355 Ml Frozen', '355 Ml Frozen', 'Crushed', '', '', '', '']"
8631,,,,,,,"['Malibu Rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Blackberry Brandy', 'Orange Juice', 'Pineapple Juice', 'Cranberry Juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 1/2 Oz', '', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 Oz', '3-4 Oz', '3-4 Oz', '3-4 Oz', '', '', '', '']"
